id,adult,overview,popularity,poster_path,name,vote_average,genre_ids,vote_count
14981,False,"The Late Late Show with Craig Ferguson is an American late-night talk show hosted by Scottish American comedian Craig Ferguson, who is the third regular host of the Late Late Show franchise. It follows Late Show with David Letterman in the CBS late-night lineup, airing weekdays in the US at 12:37 a.m. It is taped in front of a live studio audience from Monday to Friday at CBS Television City in Los Angeles, California, directly above the Bob Barker Studio. It is produced by David Letterman's production company Worldwide Pants Incorporated and CBS Television Studios.

Since becoming host on January 3, 2005, after Craig Kilborn and Tom Snyder, Ferguson has achieved the highest ratings since the show's inception in 1995. While the majority of the episodes focus on comedy, Ferguson has also addressed difficult subject matter, such as the deaths of his parents, and undertaken serious interviews, such as one with Desmond Tutu, which earned the show a 2009 Peabody Award.",853.5229,/gGC7zSDgG0FY0MbM1pjfhTCWQBI.jpg,The Late Late Show with Craig Ferguson,6.785,"[35, 10767]",107
2224,False,"The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",785.2077,/ixcfyK7it6FjRM36Te4OdblAq4X.jpg,The Daily Show,6.357,"[10763, 35]",580
50821,False,Miklós introduces viewers into the world of Money and Charm.,648.3144,/kBBbSgNchtMvsgD6z1oI1RRluHP.jpg,Among Friends,3.2,"[18, 10751]",14
22980,False,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,520.5716,/onSD9UXfJwrMXWhq7UY7hGF2S1h.jpg,Watch What Happens Live with Andy Cohen,5.136,"[10767, 35]",77
72879,False,"The story revolves around the people of Sète, France. Their lives are punctuated by family rivalries, romance and scenes from daily life, but also by plots involving police investigations, secrets and betrayals.",575.6965,/zMWldNZF0wS3L5XkDVFHxYhclcL.jpg,Tomorrow Is Ours,6.343,"[80, 18, 10766]",67
4385,False,"The Colbert Report is an American satirical late night television program. It stars political humorist Stephen Colbert, a former correspondent for The Daily Show with Jon Stewart. The Colbert Report is a spin-off from and counterpart to The Daily Show that comments on politics and the media in a similar way. The show focuses on a fictional anchorman character named Stephen Colbert, played by his real-life namesake. The character, described by Colbert as a ""well-intentioned, poorly informed, high-status idiot"", is a caricature of televised political pundits.",399.5511,/pn2CVXjOlR8kY5MgOTJjZ71IM0Q.jpg,The Colbert Report,6.862,"[10763, 35]",276
68073,False,"Welcome to the Loud House, where life can get pretty crazy. One boy, TEN girls?! Lincoln Loud wouldn’t change it for the world!",496.8363,/v0xMCeZIkgBUQtiije0IDc8ReHr.jpg,The Loud House,7.833,"[16, 35, 10751, 10762, 9648]",540
30957,False,"This reality competition sees teams embark on a trek around the world to amazing destinations where they must compete in a series of challenges, some mental and some physical. Only when the tasks are completed will they learn of their next location. Teams who are the farthest behind will gradually be eliminated as the contest progresses, with the first team to arrive at the final destination winning the race and the $1 million prize.",443.5937,/x1jq0atcQg6UkaZpco0kFL6QHuM.jpg,The Amazing Race,6.873,[10764],153
1416,False,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,422.6348,/7jEVqXC14bhfAzSPgr896dMdDv6.jpg,Grey's Anatomy,8.226,[18],10543
63770,False,"Stephen Colbert brings his signature satire and comedy to The Late Show with Stephen Colbert, the #1 show in late night, where he talks with an eclectic mix of guests about what is new and relevant in the worlds of politics, entertainment, business, music, technology, and more. Featuring bandleader Jon Batiste with his band Stay Human, the Emmy Award-nominated show is broadcast from the historic Ed Sullivan Theater. Stephen Colbert, Chris Licht, Tom Purcell, and Jon Stewart are executive producers. Barry Julien and Denise Rehrig serve as co-executive producers.must watch",489.5226,/9jkThAGYj2yp8jsS6Nriy5mzKFT.jpg,The Late Show with Stephen Colbert,6.355,"[35, 10767]",310
